case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku kering,tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku kering,tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku kering,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'kulitku', 'jerawat', 'kulitku', 'kerutan', 'kulitku', 'pori', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kombinasi', 'kulit', 'jerawat', 'kulit', 'kerut', 'kulit', 'pori', 'tipe', 'kulit', 'sensitif', 'tipe', 'kulit', 'kering']",tipe kulit minyak tipe kulit normal tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif tipe kulit kering
"tipe kulitku kombinasi cocok banget pake sunscreennya azarine, teksturnya ringan, ga bikin kulit kusam, no whitecast, gampang diblend, udah repurchase yg ke 3 kali. alhamdulillah pembelian kmrn dapet diskom & cashback.
pengiriman cepat, respon seller baik, saat diterima barang dalam kondisi baik. terima kasih",tipe kulitku kombinasi cocok banget pake sunscreennya azarine teksturnya ringan ga bikin kulit kusam no whitecast gampang diblend udah repurchase yg ke kali alhamdulillah pembelian kmrn dapet diskom cashback pengiriman cepat respon seller baik saat diterima barang dalam kondisi baik terima kasih,tipe kulitku kombinasi cocok banget pakai sunscreennya azarine teksturnya ringan enggak bikin kulit kusam no whitecast gampang diblend sudah repurchase yang ke kali alhamdulillah pembelian kemarin dapat diskom cashback pengiriman cepat respon seller baik saat diterima barang dalam kondisi baik terima kasih,"['tipe', 'kulitku', 'kombinasi', 'cocok', 'banget', 'pakai', 'sunscreennya', 'azarine', 'teksturnya', 'ringan', 'enggak', 'bikin', 'kulit', 'kusam', 'no', 'whitecast', 'gampang', 'diblend', 'sudah', 'repurchase', 'yang', 'ke', 'kali', 'alhamdulillah', 'pembelian', 'kemarin', 'dapat', 'diskom', 'cashback', 'pengiriman', 'cepat', 'respon', 'seller', 'baik', 'saat', 'diterima', 'barang', 'dalam', 'kondisi', 'baik', 'terima', 'kasih']","['tipe', 'kulitku', 'kombinasi', 'cocok', 'banget', 'pakai', 'sunscreennya', 'azarine', 'teksturnya', 'ringan', 'kulit', 'kusam', 'whitecast', 'gampang', 'diblend', 'repurchase', 'pembelian', 'kemarin', 'diskom', 'cashback', 'pengiriman', 'cepat', 'respon', 'seller', 'diterima', 'terima', 'kasih']","['tipe', 'kulit', 'kombinasi', 'cocok', 'banget', 'pakai', 'sunscreennya', 'azarine', 'tekstur', 'ringan', 'kulit', 'kusam', 'whitecast', 'gampang', 'diblend', 'repurchase', 'beli', 'kemarin', 'diskom', 'cashback', 'kirim', 'cepat', 'respon', 'seller', 'terima', 'terima', 'kasih']",tipe kulit kombinasi cocok banget pakai sunscreennya azarine tekstur ringan kulit kusam whitecast gampang diblend repurchase beli kemarin diskom cashback kirim cepat respon seller terima terima kasih
belum coba semoga cocok,belum coba semoga cocok,belum coba semoga cocok,"['belum', 'coba', 'semoga', 'cocok']","['coba', 'semoga', 'cocok']","['coba', 'moga', 'cocok']",coba moga cocok
"packaging pas ngirim barangnya oke, yang serumnya juga dipakein bubble wrap, jadi ga perlu khawatir si botol serumnya pecah. oh iya, berhubung udah beberapa minggu pake si serumnya, udah mulai sedikit ada hasil. saya ada masalah hyperpigmentation di area bibir, udah mulai memudar, cuman mungkin kudu rutin sama kayanya butuh beberapa bulan untuk betul-betul get rid of hyperpigmentationnya. mungkin musti follow salah satu sosmednya azarine. syukur-syukur di website azarinenya kaya ada menu news kaya bahas, ""apa yang lagi dikerjain sama tim rndnya azarine"". ini mungkinn bakal lebih menarik perhatian calon customer ataupun loyal customernya azarine. produk ini ga da masalah juga di kulit saya selama pemakaian, serum sama si sunscreennya ya working well, jadi ya untuk beberapa waktu ke depan, mungkin bakal pake produk dari azarine ini. buat calon customer yang lain, best for research before what your type skin, and problem with your skin. makasih azarine.",packaging pas ngirim barangnya oke yang serumnya juga dipakein bubble wrap jadi ga perlu khawatir si botol serumnya pecah oh iya berhubung udah beberapa minggu pake si serumnya udah mulai sedikit ada hasil saya ada masalah hyperpigmentation di area bibir udah mulai memudar cuman mungkin kudu rutin sama kayanya butuh beberapa bulan untuk betul betul get rid of hyperpigmentationnya mungkin musti follow salah satu sosmednya azarine syukur syukur di website azarinenya kaya ada menu news kaya bahas apa yang lagi dikerjain sama tim rndnya azarine ini mungkinn bakal lebih menarik perhatian calon customer ataupun loyal customernya azarine produk ini ga da masalah juga di kulit saya selama pemakaian serum sama si sunscreennya ya working well jadi ya untuk beberapa waktu ke depan mungkin bakal pake produk dari azarine ini buat calon customer yang lain best for research before what your type skin and problem with your skin makasih azarine,packaging pas mengirim barangnya oke yang serumnya juga dipakein bubble wrap jadi enggak perlu khawatir sih botol serumnya pecah oh iya berhubung sudah beberapa minggu pakai sih serumnya sudah mulai sedikit ada hasil saya ada masalah hyperpigmentation di area bibir sudah mulai memudar cuman mungkin kudu rutin sama kayanya butuh beberapa bulan untuk betul betul get rid of hyperpigmentationnya mungkin musti follow salah satu sosmednya azarine syukur syukur di website azarinenya kayak ada menu news kayak bahas apa yang lagi dikerjain sama tim rndnya azarine ini mungkinn bakal lebih menarik perhatian calon customer ataupun loyal customernya azarine produk ini enggak dah masalah juga di kulit saya selama pemakaian serum sama sih sunscreennya ya working well jadi ya untuk beberapa waktu ke depan mungkin bakal pakai produk dari azarine ini buat calon customer yang lain best for research before what your type skin and problem with your skin terima kasih azarine,"['packaging', 'pas', 'mengirim', 'barangnya', 'oke', 'yang', 'serumnya', 'juga', 'dipakein', 'bubble', 'wrap', 'jadi', 'enggak', 'perlu', 'khawatir', 'sih', 'botol', 'serumnya', 'pecah', 'oh', 'iya', 'berhubung', 'sudah', 'beberapa', 'minggu', 'pakai', 'sih', 'serumnya', 'sudah', 'mulai', 'sedikit', 'ada', 'hasil', 'saya', 'ada', 'masalah', 'hyperpigmentation', 'di', 'area', 'bibir', 'sudah', 'mulai', 'memudar', 'cuman', 'mungkin', 'kudu', 'rutin', 'sama', 'kayanya', 'butuh', 'beberapa', 'bulan', 'untuk', 'betul', 'betul', 'get', 'rid', 'of', 'hyperpigmentationnya', 'mungkin', 'musti', 'follow', 'salah', 'satu', 'sosmednya', 'azarine', 'syukur', 'syukur', 'di', 'website', 'azarinenya', 'kayak', 'ada', 'menu', 'news', 'kayak', 'bahas', 'apa', 'yang', 'lagi', 'dikerjain', 'sama', 'tim', 'rndnya', 'azarine', 'ini', 'mungkinn', 'bakal', 'lebih', 'menarik', 'perhatian', 'calon', 'customer', 'ataupun', 'loyal', 'customernya', 'azarine', 'produk', 'ini', 'enggak', 'dah', 'masalah', 'juga', 'di', 'kulit', 'saya', 'selama', 'pemakaian', 'serum', 'sama', 'sih', 'sunscreennya', 'ya', 'working', 'well', 'jadi', 'ya', 'untuk', 'beberapa', 'waktu', 'ke', 'depan', 'mungkin', 'bakal', 'pakai', 'produk', 'dari', 'azarine', 'ini', 'buat', 'calon', 'customer', 'yang', 'lain', 'best', 'for', 'research', 'before', 'what', 'your', 'type', 'skin', 'and', 'problem', 'with', 'your', 'skin', 'terima', 'kasih', 'azarine']","['packaging', 'mengirim', 'barangnya', 'oke', 'serumnya', 'dipakein', 'bubble', 'wrap', 'khawatir', 'botol', 'serumnya', 'pecah', 'berhubung', 'pakai', 'serumnya', 'hyperpigmentation', 'area', 'bibir', 'memudar', 'cuman', 'rutin', 'kayanya', 'butuh', 'get', 'rid', 'hyperpigmentationnya', 'musti', 'sosmednya', 'azarine', 'syukur', 'syukur', 'website', 'azarinenya', 'menu', 'news', 'bahas', 'dikerjain', 'tim', 'rndnya', 'azarine', 'mungkinn', 'menarik', 'perhatian', 'calon', 'customer', 'loyal', 'customernya', 'azarine', 'produk', 'kulit', 'pemakaian', 'serum', 'sunscreennya', 'working', 'well', 'pakai', 'produk', 'azarine', 'calon', 'customer', 'best', 'research', 'before', 'your', 'type', 'skin', 'problem', 'with', 'your', 'skin', 'terima', 'kasih', 'azarine']","['packaging', 'kirim', 'barang', 'oke', 'serum', 'dipakein', 'bubble', 'wrap', 'khawatir', 'botol', 'serum', 'pecah', 'hubung', 'pakai', 'serum', 'hyperpigmentation', 'area', 'bibir', 'pudar', 'cuman', 'rutin', 'kaya', 'butuh', 'get', 'rid', 'hyperpigmentationnya', 'musti', 'sosmednya', 'azarine', 'syukur', 'syukur', 'website', 'azarinenya', 'menu', 'news', 'bahas', 'dikerjain', 'tim', 'rndnya', 'azarine', 'mungkinn', 'tarik', 'perhati', 'calon', 'customer', 'loyal', 'customernya', 'azarine', 'produk', 'kulit', 'pakai', 'serum', 'sunscreennya', 'working', 'well', 'pakai', 'produk', 'azarine', 'calon', 'customer', 'best', 'research', 'before', 'your', 'type', 'skin', 'problem', 'with', 'your', 'skin', 'terima', 'kasih', 'azarine']",packaging kirim barang oke serum dipakein bubble wrap khawatir botol serum pecah hubung pakai serum hyperpigmentation area bibir pudar cuman rutin kaya butuh get rid hyperpigmentationnya musti sosmednya azarine syukur syukur website azarinenya menu news bahas dikerjain tim rndnya azarine mungkinn tarik perhati calon customer loyal customernya azarine produk kulit pakai serum sunscreennya working well pakai produk azarine calon customer best research before your type skin problem with your skin terima kasih azarine
tipe kulitku kering jadi lembab pakai ini,tipe kulitku kering jadi lembab pakai ini,tipe kulitku kering jadi lembab pakai ini,"['tipe', 'kulitku', 'kering', 'jadi', 'lembab', 'pakai', 'ini']","['tipe', 'kulitku', 'kering', 'lembab', 'pakai']","['tipe', 'kulit', 'kering', 'lembab', 'pakai']",tipe kulit kering lembab pakai
mantep banget jerawat aku langsung pada kering,mantep banget jerawat aku langsung pada kering,mantap banget jerawat aku langsung pada kering,"['mantap', 'banget', 'jerawat', 'aku', 'langsung', 'pada', 'kering']","['mantap', 'banget', 'jerawat', 'kering']","['mantap', 'banget', 'jerawat', 'kering']",mantap banget jerawat kering
sudah sampai dengan selamat. terima kasih bajyak,sudah sampai dengan selamat terima kasih bajyak,sudah sampai dengan selamat terima kasih bajyak,"['sudah', 'sampai', 'dengan', 'selamat', 'terima', 'kasih', 'bajyak']","['selamat', 'terima', 'kasih', 'bajyak']","['selamat', 'terima', 'kasih', 'bajyak']",selamat terima kasih bajyak
tipe kulitku normal tipe kulitku kering tipe kulitku berminyak,tipe kulitku normal tipe kulitku kering tipe kulitku berminyak,tipe kulitku normal tipe kulitku kering tipe kulitku berminyak,"['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'minyak']",tipe kulit normal tipe kulit kering tipe kulit minyak
"as usual bagus bgt, udh repurchase kesekian kali, memplump kan bibir melembabkan dan bikin warna jd cerah kalo dicombine sama pure paw paw",as usual bagus bgt udh repurchase kesekian kali memplump kan bibir melembabkan dan bikin warna jd cerah kalo dicombine sama pure paw paw,as usual bagus banget sudah repurchase kesekian kali memplump kan bibir melembabkan dan bikin warna jadi cerah kalo dicombine sama pure paw paw,"['as', 'usual', 'bagus', 'banget', 'sudah', 'repurchase', 'kesekian', 'kali', 'memplump', 'kan', 'bibir', 'melembabkan', 'dan', 'bikin', 'warna', 'jadi', 'cerah', 'kalo', 'dicombine', 'sama', 'pure', 'paw', 'paw']","['usual', 'bagus', 'banget', 'repurchase', 'kesekian', 'memplump', 'bibir', 'melembabkan', 'warna', 'cerah', 'dicombine', 'pure', 'paw', 'paw']","['usual', 'bagus', 'banget', 'repurchase', 'sekian', 'memplump', 'bibir', 'melembabkan', 'warna', 'cerah', 'dicombine', 'pure', 'paw', 'paw']",usual bagus banget repurchase sekian memplump bibir melembabkan warna cerah dicombine pure paw paw
bagus memuaskan,bagus memuaskan,bagus memuaskan,"['bagus', 'memuaskan']","['bagus', 'memuaskan']","['bagus', 'muas']",bagus muas
