case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
sipp,sipp,sip,['sip'],['sip'],['sip'],sip
"proses orderan san pengirimannya sesuai estimasi, pengemasannya juga aman banget! karena kulitku lagi cukup sensitif dan cukup sering pakai makeup, jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya hehe, semoga cocok, thank you azarine!",proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya semoga cocok thank you azarine,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yang cukup menarik karena ada cooling sensationnya semoga cocok thank you azarine,"['proses', 'orderan', 'san', 'pengirimannya', 'sesuai', 'estimasi', 'pengemasannya', 'juga', 'aman', 'banget', 'karena', 'kulitku', 'lagi', 'cukup', 'sensitif', 'dan', 'cukup', 'sering', 'pakai', 'makeup', 'jadi', 'mau', 'coba', 'sunscreen', 'spray', 'ini', 'yang', 'cukup', 'menarik', 'karena', 'ada', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'you', 'azarine']","['orderan', 'san', 'pengirimannya', 'estimasi', 'pengemasannya', 'aman', 'banget', 'kulitku', 'sensitif', 'pakai', 'makeup', 'coba', 'sunscreen', 'spray', 'menarik', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'azarine']","['order', 'san', 'kirim', 'estimasi', 'emas', 'aman', 'banget', 'kulit', 'sensitif', 'pakai', 'makeup', 'coba', 'sunscreen', 'spray', 'tarik', 'cooling', 'sensationnya', 'moga', 'cocok', 'thank', 'azarine']",order san kirim estimasi emas aman banget kulit sensitif pakai makeup coba sunscreen spray tarik cooling sensationnya moga cocok thank azarine
"terima kasih
sudah diterima dengan baik",terima kasih sudah diterima dengan baik,terima kasih sudah diterima dengan baik,"['terima', 'kasih', 'sudah', 'diterima', 'dengan', 'baik']","['terima', 'kasih', 'diterima']","['terima', 'kasih', 'terima']",terima kasih terima
tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'kulit', 'pori']",tipe kulit kombinasi tipe kulit normal tipe kulit kering tipe kulit minyak kulit jerawat kulit pori
ini kurang oke menurut sy. dipake ga bikin bibir lembab tp malah jd kering dan kasar. belom lg warnanya merah bgt jd menor gt.,ini kurang oke menurut sy dipake ga bikin bibir lembab tp malah jd kering dan kasar belom lg warnanya merah bgt jd menor gt,ini kurang oke menurut saya dipakai enggak bikin bibir lembab tapi malah jadi kering dan kasar belum lagi warnanya merah banget jadi menor begitu,"['ini', 'kurang', 'oke', 'menurut', 'saya', 'dipakai', 'enggak', 'bikin', 'bibir', 'lembab', 'tapi', 'malah', 'jadi', 'kering', 'dan', 'kasar', 'belum', 'lagi', 'warnanya', 'merah', 'banget', 'jadi', 'menor', 'begitu']","['oke', 'dipakai', 'bibir', 'lembab', 'kering', 'kasar', 'warnanya', 'merah', 'banget', 'menor']","['oke', 'pakai', 'bibir', 'lembab', 'kering', 'kasar', 'warna', 'merah', 'banget', 'menor']",oke pakai bibir lembab kering kasar warna merah banget menor
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']",tipe kulit minyak
tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat,"['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'sensitif', 'kulitku', 'jerawat']","['tipe', 'kulit', 'sensitif', 'kulit', 'jerawat']",tipe kulit sensitif kulit jerawat
gak approved untuk sawo matang bibir hitam.. krn kliatan hitam bgt,gak approved untuk sawo matang bibir hitam krn kliatan hitam bgt,enggak approved untuk sawo matang bibir hitam karena kelihatan hitam banget,"['enggak', 'approved', 'untuk', 'sawo', 'matang', 'bibir', 'hitam', 'karena', 'kelihatan', 'hitam', 'banget']","['approved', 'sawo', 'matang', 'bibir', 'hitam', 'hitam', 'banget']","['approved', 'sawo', 'matang', 'bibir', 'hitam', 'hitam', 'banget']",approved sawo matang bibir hitam hitam banget
setelah dicoba takut gak cocok..ternyata cocok di kulit saya..padahal kulit saya sensitif..top banget..ramah di kantong..,setelah dicoba takut gak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,setelah dicoba takut enggak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,"['setelah', 'dicoba', 'takut', 'enggak', 'cocok', 'ternyata', 'cocok', 'di', 'kulit', 'saya', 'padahal', 'kulit', 'saya', 'sensitif', 'top', 'banget', 'ramah', 'di', 'kantong']","['dicoba', 'takut', 'cocok', 'cocok', 'kulit', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']","['coba', 'takut', 'cocok', 'cocok', 'kulit', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']",coba takut cocok cocok kulit kulit sensitif top banget ramah kantong
selalu cocok sama produk azarine..top dech..,selalu cocok sama produk azarine top dech,selalu cocok sama produk azarine top deh,"['selalu', 'cocok', 'sama', 'produk', 'azarine', 'top', 'deh']","['cocok', 'produk', 'azarine', 'top']","['cocok', 'produk', 'azarine', 'top']",cocok produk azarine top
cocok banget kulit jadi lembab..lebih fresh,cocok banget kulit jadi lembab lebih fresh,cocok banget kulit jadi lembab lebih fresh,"['cocok', 'banget', 'kulit', 'jadi', 'lembab', 'lebih', 'fresh']","['cocok', 'banget', 'kulit', 'lembab', 'fresh']","['cocok', 'banget', 'kulit', 'lembab', 'fresh']",cocok banget kulit lembab fresh
selalu cocok dengan produk azarine,selalu cocok dengan produk azarine,selalu cocok dengan produk azarine,"['selalu', 'cocok', 'dengan', 'produk', 'azarine']","['cocok', 'produk', 'azarine']","['cocok', 'produk', 'azarine']",cocok produk azarine
tipe kulitku normal,tipe kulitku normal,tipe kulitku normal,"['tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'normal']","['tipe', 'kulit', 'normal']",tipe kulit normal
cepet banget nyerapnya. cocok buat kulit berminyak jerawatan ga bikin lengket. suncreen terfavorit,cepet banget nyerapnya cocok buat kulit berminyak jerawatan ga bikin lengket suncreen terfavorit,cepat banget nyerapnya cocok buat kulit berminyak jerawatan enggak bikin lengket suncreen terfavorit,"['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'berminyak', 'jerawatan', 'enggak', 'bikin', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'kulit', 'berminyak', 'jerawatan', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'kulit', 'minyak', 'jerawat', 'lengket', 'suncreen', 'favorit']",cepat banget nyerapnya cocok kulit minyak jerawat lengket suncreen favorit
ringan,ringan,ringan,['ringan'],['ringan'],['ringan'],ringan
bahannya ringan..mufah dserap kulit..terasa ringan dan wanginya enak..bagus untuk menghadap uv a dan uv b  tipe kulitku kombinasi,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv dan uv tipe kulitku kombinasi,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv dan uv tipe kulitku kombinasi,"['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'terasa', 'ringan', 'dan', 'wanginya', 'enak', 'bagus', 'untuk', 'menghadap', 'uv', 'dan', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'ringan', 'wanginya', 'bagus', 'menghadap', 'uv', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahan', 'ringan', 'mufah', 'dserap', 'kulit', 'ringan', 'wangi', 'bagus', 'hadap', 'uv', 'uv', 'tipe', 'kulit', 'kombinasi']",bahan ringan mufah dserap kulit ringan wangi bagus hadap uv uv tipe kulit kombinasi
barang sesuai deskripsi,barang sesuai deskripsi,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']",['deskripsi'],['deskripsi'],deskripsi
"pengiriman cepat,penjual ramah,produk ori",pengiriman cepat penjual ramah produk ori,pengiriman cepat penjual ramah produk orisinal,"['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['kirim', 'cepat', 'jual', 'ramah', 'produk', 'orisinal']",kirim cepat jual ramah produk orisinal
tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'kulitku', 'jerawat', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'kulit', 'jerawat', 'kulit', 'pori']",tipe kulit kombinasi kulit jerawat kulit pori
teksturnya ringan dan gampang menyerap. tapi lama kelamaan kulit jadi rada berminyak di area t zone.,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area zone,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area zone,"['teksturnya', 'ringan', 'dan', 'gampang', 'menyerap', 'tapi', 'lama', 'kelamaan', 'kulit', 'jadi', 'rada', 'berminyak', 'di', 'area', 'zone']","['teksturnya', 'ringan', 'gampang', 'menyerap', 'kulit', 'rada', 'berminyak', 'area', 'zone']","['tekstur', 'ringan', 'gampang', 'serap', 'kulit', 'rada', 'minyak', 'area', 'zone']",tekstur ringan gampang serap kulit rada minyak area zone
"packet aman, packing rapih. cuma kurir expedisinya aja blegug, ditungguin dr siang ga nyampe2. eh sore kita ada urusan dadakan dia nyampe kaga ngabarin, pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org, entah ditaro mana sm kurirnya. saya buru2 plg, termyata paketnya diselipin di kusen pintu, kacau sih bukannya kontak saya dl gt. maen diselip aja, gmn coba klo ada pemulung kira itu kotak kardus sampah? bisa ilang paket saya.",packet aman packing rapih cuma kurir expedisinya aja blegug ditungguin dr siang ga nyampe sore kita ada urusan dadakan dia nyampe kaga ngabarin pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org entah ditaro mana sm kurirnya saya buru plg termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dl gt maen diselip aja gmn coba klo ada pemulung kira itu kotak kardus sampah bisa ilang paket saya,packet aman packing rapi cuma kurir expedisinya saja blegug ditungguin dari siang enggak sampai sore kita ada urusan dadakan dia sampai kagak ngabarin pas saya cek dari tokped termyata packet tiba di tujuan padahal di rumah enggak ada orang entah ditaro mana sama kurirnya saya buru pulang termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dulu begitu main diselip saja bagaimana coba kalo ada pemulung kira itu kotak kardus sampah bisa hilang paket saya,"['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'saja', 'blegug', 'ditungguin', 'dari', 'siang', 'enggak', 'sampai', 'sore', 'kita', 'ada', 'urusan', 'dadakan', 'dia', 'sampai', 'kagak', 'ngabarin', 'pas', 'saya', 'cek', 'dari', 'tokped', 'termyata', 'packet', 'tiba', 'di', 'tujuan', 'padahal', 'di', 'rumah', 'enggak', 'ada', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurirnya', 'saya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'di', 'kusen', 'pintu', 'kacau', 'sih', 'bukannya', 'kontak', 'saya', 'dulu', 'begitu', 'main', 'diselip', 'saja', 'bagaimana', 'coba', 'kalo', 'ada', 'pemulung', 'kira', 'itu', 'kotak', 'kardus', 'sampah', 'bisa', 'hilang', 'paket', 'saya']","['packet', 'aman', 'packing', 'rapi', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'sore', 'urusan', 'dadakan', 'ngabarin', 'cek', 'tokped', 'termyata', 'packet', 'tujuan', 'rumah', 'ditaro', 'kurirnya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'kusen', 'pintu', 'kacau', 'kontak', 'main', 'diselip', 'coba', 'pemulung', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']","['packet', 'aman', 'packing', 'rapi', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'sore', 'urus', 'dada', 'ngabarin', 'cek', 'tokped', 'termyata', 'packet', 'tuju', 'rumah', 'ditaro', 'kurir', 'buru', 'pulang', 'termyata', 'paket', 'diselipin', 'kusen', 'pintu', 'kacau', 'kontak', 'main', 'selip', 'coba', 'pulung', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']",packet aman packing rapi kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau kontak main selip coba pulung kotak kardus sampah hilang paket
"alhamdulillah cocok. pembelian kedua, thx u.",alhamdulillah cocok pembelian kedua thx,alhamdulillah cocok pembelian kedua thanks,"['alhamdulillah', 'cocok', 'pembelian', 'kedua', 'thanks']","['cocok', 'pembelian', 'thanks']","['cocok', 'beli', 'thanks']",cocok beli thanks
"semua productnya kusuka.. kalo beli satuan total 5item 220rb. ku cuma beli 170rb, dapet cashback 20rb syenangnya masih dapet free gift pouch kaca n card",semua productnya kusuka kalo beli satuan total item rb ku cuma beli rb dapet cashback rb syenangnya masih dapet free gift pouch kaca card,semua productnya kusuka kalo beli satuan total item ribu ku cuma beli ribu dapat cashback ribu syenangnya masih dapat free gift pouch kaca card,"['semua', 'productnya', 'kusuka', 'kalo', 'beli', 'satuan', 'total', 'item', 'ribu', 'ku', 'cuma', 'beli', 'ribu', 'dapat', 'cashback', 'ribu', 'syenangnya', 'masih', 'dapat', 'free', 'gift', 'pouch', 'kaca', 'card']","['productnya', 'kusuka', 'beli', 'satuan', 'total', 'item', 'ku', 'beli', 'cashback', 'syenangnya', 'gift', 'pouch', 'kaca', 'card']","['productnya', 'suka', 'beli', 'satu', 'total', 'item', 'ku', 'beli', 'cashback', 'syenangnya', 'gift', 'pouch', 'kaca', 'card']",productnya suka beli satu total item ku beli cashback syenangnya gift pouch kaca card
"gemass, warnanya cantikk",gemass warnanya cantikk,gemas warnanya cantik,"['gemas', 'warnanya', 'cantik']","['gemas', 'warnanya', 'cantik']","['gemas', 'warna', 'cantik']",gemas warna cantik
repeat order,repeat order,repeat order,"['repeat', 'order']","['repeat', 'order']","['repeat', 'order']",repeat order
masalah kulitku pori besar,masalah kulitku pori besar,masalah kulitku pori besar,"['masalah', 'kulitku', 'pori', 'besar']","['kulitku', 'pori']","['kulit', 'pori']",kulit pori
"ini beda nih dari pertama beli wkwk first time nyobain jatuh cinta bgt, waktu itu pilih shade strawberrypine sama raspberry muffin. trus ini pembelian kedua, ngerasa ini formulanya beda bgt. ini lebih berminyak tapi short-lasting wkwk masa iya abis minum aer ilang, lah coba itu rugi dong 😭 🫵 udahlah, aku pindah haluan aja, byeee ✨",ini beda nih dari pertama beli first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi sho lasting masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,ini beda nih dari pertama beli first time mencoba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi sho lasting masa iya habis minum air hilang lah coba itu rugi dong sudahlah aku pindah haluan saja byeee,"['ini', 'beda', 'nih', 'dari', 'pertama', 'beli', 'first', 'time', 'mencoba', 'jatuh', 'cinta', 'banget', 'waktu', 'itu', 'pilih', 'shade', 'strawberrypine', 'sama', 'raspberry', 'muffin', 'terus', 'ini', 'pembelian', 'kedua', 'merasa', 'ini', 'formulanya', 'beda', 'banget', 'ini', 'lebih', 'berminyak', 'tapi', 'sho', 'lasting', 'masa', 'iya', 'habis', 'minum', 'air', 'hilang', 'lah', 'coba', 'itu', 'rugi', 'dong', 'sudahlah', 'aku', 'pindah', 'haluan', 'saja', 'byeee']","['beda', 'beli', 'first', 'time', 'mencoba', 'jatuh', 'cinta', 'banget', 'pilih', 'shade', 'strawberrypine', 'raspberry', 'muffin', 'pembelian', 'formulanya', 'beda', 'banget', 'berminyak', 'sho', 'lasting', 'habis', 'minum', 'air', 'hilang', 'coba', 'rugi', 'pindah', 'haluan', 'byeee']","['beda', 'beli', 'first', 'time', 'coba', 'jatuh', 'cinta', 'banget', 'pilih', 'shade', 'strawberrypine', 'raspberry', 'muffin', 'beli', 'formula', 'beda', 'banget', 'minyak', 'sho', 'lasting', 'habis', 'minum', 'air', 'hilang', 'coba', 'rugi', 'pindah', 'haluan', 'byeee']",beda beli first time coba jatuh cinta banget pilih shade strawberrypine raspberry muffin beli formula beda banget minyak sho lasting habis minum air hilang coba rugi pindah haluan byeee
"tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar, overall worth it",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth itu,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'overall', 'worth', 'itu']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'kulitku', 'jerawat', 'kulitku', 'pori', 'overall', 'worth']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'sensitif', 'kulit', 'jerawat', 'kulit', 'pori', 'overall', 'worth']",tipe kulit minyak tipe kulit sensitif kulit jerawat kulit pori overall worth
kecepatan pengiriman baik. ada bubble warp.,kecepatan pengiriman baik ada bubble warp,kecepatan pengiriman baik ada bubble warp,"['kecepatan', 'pengiriman', 'baik', 'ada', 'bubble', 'warp']","['kecepatan', 'pengiriman', 'bubble', 'warp']","['cepat', 'kirim', 'bubble', 'warp']",cepat kirim bubble warp
tipe kulitku sensitif  masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'sensitif', 'kulitku', 'jerawat', 'kulitku', 'pori']","['tipe', 'kulit', 'sensitif', 'kulit', 'jerawat', 'kulit', 'pori']",tipe kulit sensitif kulit jerawat kulit pori
dpt harga ceban yay. blm dicoba,dpt harga ceban yay blm dicoba,dapat harga ceban yay belum dicoba,"['dapat', 'harga', 'ceban', 'yay', 'belum', 'dicoba']","['harga', 'ceban', 'yay', 'dicoba']","['harga', 'ceban', 'yay', 'coba']",harga ceban yay coba
"pembelian kesekian kalinya. cocok di muka apalagi klo pas jerawatan, kulitnya tetep bs bnafas",pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,pembelian kesekian kalinya cocok di muka apalagi kalo pas jerawatan kulitnya tetap bisa bnafas,"['pembelian', 'kesekian', 'kalinya', 'cocok', 'di', 'muka', 'apalagi', 'kalo', 'pas', 'jerawatan', 'kulitnya', 'tetap', 'bisa', 'bnafas']","['pembelian', 'kesekian', 'kalinya', 'cocok', 'muka', 'jerawatan', 'kulitnya', 'bnafas']","['beli', 'sekian', 'kali', 'cocok', 'muka', 'jerawat', 'kulit', 'bnafas']",beli sekian kali cocok muka jerawat kulit bnafas
ternyata dapet 2 ya. baru pertama kali semoga cocok,ternyata dapet ya baru pertama kali semoga cocok,ternyata dapat ya baru pertama kali semoga cocok,"['ternyata', 'dapat', 'ya', 'baru', 'pertama', 'kali', 'semoga', 'cocok']","['semoga', 'cocok']","['moga', 'cocok']",moga cocok
"mudah2an cocok, terima kasih👍🏻",mudahan cocok terima kasih,mudahan cocok terima kasih,"['mudahan', 'cocok', 'terima', 'kasih']","['mudahan', 'cocok', 'terima', 'kasih']","['mudah', 'cocok', 'terima', 'kasih']",mudah cocok terima kasih
udh sering beli ini dan selalu cocok,udh sering beli ini dan selalu cocok,sudah sering beli ini dan selalu cocok,"['sudah', 'sering', 'beli', 'ini', 'dan', 'selalu', 'cocok']","['beli', 'cocok']","['beli', 'cocok']",beli cocok
barang datang dengan selamat walau agak lama datangnya,barang datang dengan selamat walau agak lama datangnya,barang datang dengan selamat walau agak lama datangnya,"['barang', 'datang', 'dengan', 'selamat', 'walau', 'agak', 'lama', 'datangnya']","['selamat', 'datangnya']","['selamat', 'datang']",selamat datang
"packing nya bagus bgt utk cream dg hrg segitu. tekstur ringan cepet meresap di kulit, ga ada bau menyengat samsek. semoga cocok di kulit aku yg kering tp bruntusan.  tq.",packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat meresap di kulit enggak ada bau menyengat sama sekali semoga cocok di kulit aku yang kering tapi bruntusan terima kasih,"['packing', 'nya', 'bagus', 'banget', 'untuk', 'cream', 'dengan', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'meresap', 'di', 'kulit', 'enggak', 'ada', 'bau', 'menyengat', 'sama', 'sekali', 'semoga', 'cocok', 'di', 'kulit', 'aku', 'yang', 'kering', 'tapi', 'bruntusan', 'terima', 'kasih']","['packing', 'bagus', 'banget', 'cream', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'meresap', 'kulit', 'bau', 'menyengat', 'semoga', 'cocok', 'kulit', 'kering', 'bruntusan', 'terima', 'kasih']","['packing', 'bagus', 'banget', 'cream', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'resap', 'kulit', 'bau', 'sengat', 'moga', 'cocok', 'kulit', 'kering', 'bruntusan', 'terima', 'kasih']",packing bagus banget cream harga segitu tekstur ringan cepat resap kulit bau sengat moga cocok kulit kering bruntusan terima kasih
terima kasih...,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']",terima kasih
"bahannya ringan, mudah menyerap cocok di kulit aku yg berjerawat. gak bikin breakout. the best pokoknya👍🏻👍🏻",bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,bahannya ringan mudah menyerap cocok di kulit aku yang berjerawat enggak bikin breakout the best pokoknya,"['bahannya', 'ringan', 'mudah', 'menyerap', 'cocok', 'di', 'kulit', 'aku', 'yang', 'berjerawat', 'enggak', 'bikin', 'breakout', 'the', 'best', 'pokoknya']","['bahannya', 'ringan', 'mudah', 'menyerap', 'cocok', 'kulit', 'berjerawat', 'breakout', 'best', 'pokoknya']","['bahan', 'ringan', 'mudah', 'serap', 'cocok', 'kulit', 'jerawat', 'breakout', 'best', 'pokok']",bahan ringan mudah serap cocok kulit jerawat breakout best pokok
tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku kombinasi masalah kulitku jerawat,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'kombinasi', 'kulitku', 'jerawat']","['tipe', 'kulit', 'kombinasi', 'kulit', 'jerawat']",tipe kulit kombinasi kulit jerawat
tipe kulitku kombinasi,tipe kulitku kombinasi,tipe kulitku kombinasi,"['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulit', 'kombinasi']",tipe kulit kombinasi
"tipe kulitku berminyak masalah kulitku pori besar ,original 100%  terimakasih.",tipe kulitku berminyak masalah kulitku pori besar original terimakasih,tipe kulitku berminyak masalah kulitku pori besar original terima kasih,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'original', 'terima', 'kasih']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'pori', 'original', 'terima', 'kasih']","['tipe', 'kulit', 'minyak', 'kulit', 'pori', 'original', 'terima', 'kasih']",tipe kulit minyak kulit pori original terima kasih
"bahannya ringan, cocok digunakan",bahannya ringan cocok digunakan,bahannya ringan cocok digunakan,"['bahannya', 'ringan', 'cocok', 'digunakan']","['bahannya', 'ringan', 'cocok']","['bahan', 'ringan', 'cocok']",bahan ringan cocok
"tipe kulitku berminyak, baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk",tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,tipe kulitku berminyak baru mau mencoba makai ini tapi sebelumnya mencoba punya teman cocok,"['tipe', 'kulitku', 'berminyak', 'baru', 'mau', 'mencoba', 'makai', 'ini', 'tapi', 'sebelumnya', 'mencoba', 'punya', 'teman', 'cocok']","['tipe', 'kulitku', 'berminyak', 'mencoba', 'makai', 'mencoba', 'cocok']","['tipe', 'kulit', 'minyak', 'coba', 'maka', 'coba', 'cocok']",tipe kulit minyak coba maka coba cocok
"barang datang sesuai, packing nya aman serta pengiriman cepat",barang datang sesuai packing nya aman serta pengiriman cepat,barang datang sesuai packing nya aman serta pengiriman cepat,"['barang', 'datang', 'sesuai', 'packing', 'nya', 'aman', 'serta', 'pengiriman', 'cepat']","['packing', 'aman', 'pengiriman', 'cepat']","['packing', 'aman', 'kirim', 'cepat']",packing aman kirim cepat
"berasa cerah jika sudah pakai, cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg",berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,berasa cerah jika sudah pakai cuman di aku jadi bikin kering jadi mesti pakai pelembab muka lagi,"['berasa', 'cerah', 'jika', 'sudah', 'pakai', 'cuman', 'di', 'aku', 'jadi', 'bikin', 'kering', 'jadi', 'mesti', 'pakai', 'pelembab', 'muka', 'lagi']","['berasa', 'cerah', 'pakai', 'cuman', 'kering', 'mesti', 'pakai', 'pelembab', 'muka']","['asa', 'cerah', 'pakai', 'cuman', 'kering', 'mesti', 'pakai', 'pelembab', 'muka']",asa cerah pakai cuman kering mesti pakai pelembab muka
