case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
segel aman,segel aman,segel aman,"['segel', 'aman']","['segel', 'aman']","['segel', 'aman']",segel aman
segel kotak seperti sudah dibuka,segel kotak seperti sudah dibuka,segel kotak seperti sudah dibuka,"['segel', 'kotak', 'seperti', 'sudah', 'dibuka']","['segel', 'kotak', 'dibuka']","['segel', 'kotak', 'buka']",segel kotak buka
segel kotaknya seperti sudah dibuka,segel kotaknya seperti sudah dibuka,segel kotaknya seperti sudah dibuka,"['segel', 'kotaknya', 'seperti', 'sudah', 'dibuka']","['segel', 'kotaknya', 'dibuka']","['segel', 'kotak', 'buka']",segel kotak buka
oke,oke,oke,['oke'],['oke'],['oke'],oke
"order tanggal 1, request pick up tanggal 3, pick up tanggal 4, sampai ke pembeli tanggal 9 😪. tapi gpp, karna kualitas barangnya emang bagus tetap kukasih bintang 4.",order tanggal request pick up tanggal pick up tanggal sampai ke pembeli tanggal tapi gpp karna kualitas barangnya emang bagus tetap kukasih bintang,order tanggal request pick up tanggal pick up tanggal sampai ke pembeli tanggal tapi enggak apa-apa karena kualitas barangnya memang bagus tetap kukasih bintang,"['order', 'tanggal', 'request', 'pick', 'up', 'tanggal', 'pick', 'up', 'tanggal', 'sampai', 'ke', 'pembeli', 'tanggal', 'tapi', 'enggak', 'apa-apa', 'karena', 'kualitas', 'barangnya', 'memang', 'bagus', 'tetap', 'kukasih', 'bintang']","['order', 'request', 'pick', 'up', 'pick', 'up', 'pembeli', 'apa-apa', 'kualitas', 'barangnya', 'bagus', 'kukasih', 'bintang']","['order', 'request', 'pick', 'up', 'pick', 'up', 'beli', 'apa', 'kualitas', 'barang', 'bagus', 'kasih', 'bintang']",order request pick up pick up beli apa kualitas barang bagus kasih bintang
"bahannya ringan, gak ada aroma, lebih cair. pemakaian pertama aman, gak bikin kulit kering setelahnya. semoga cocok kedepannya.",bahannya ringan gak ada aroma lebih cair pemakaian pertama aman gak bikin kulit kering setelahnya semoga cocok kedepannya,bahannya ringan enggak ada aroma lebih cair pemakaian pertama aman enggak bikin kulit kering setelahnya semoga cocok kedepannya,"['bahannya', 'ringan', 'enggak', 'ada', 'aroma', 'lebih', 'cair', 'pemakaian', 'pertama', 'aman', 'enggak', 'bikin', 'kulit', 'kering', 'setelahnya', 'semoga', 'cocok', 'kedepannya']","['bahannya', 'ringan', 'aroma', 'cair', 'pemakaian', 'aman', 'kulit', 'kering', 'setelahnya', 'semoga', 'cocok', 'kedepannya']","['bahan', 'ringan', 'aroma', 'cair', 'pakai', 'aman', 'kulit', 'kering', 'telah', 'moga', 'cocok', 'depan']",bahan ringan aroma cair pakai aman kulit kering telah moga cocok depan
bismillah smga cocok .,bismillah smga cocok,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']","['bismillah', 'semoga', 'cocok']","['bismillah', 'moga', 'cocok']",bismillah moga cocok
pengemasan lama bangettt,pengemasan lama bangettt,pengemasan lama banget,"['pengemasan', 'lama', 'banget']","['pengemasan', 'banget']","['emas', 'banget']",emas banget
"bagus packing nya aman, tapi pengiriman nya sampe 1 minggu baru sampe barang nya lamaaa bangettt kalo di toko oren 2 hari juga udah sampe ke bandung 😭",bagus packing nya aman tapi pengiriman nya sampe minggu baru sampe barang nya lamaaa bangettt kalo di toko oren hari juga udah sampe ke bandung,bagus packing nya aman tapi pengiriman nya sampai minggu baru sampai barang nya lama banget kalo di toko oren hari juga sudah sampai ke bandung,"['bagus', 'packing', 'nya', 'aman', 'tapi', 'pengiriman', 'nya', 'sampai', 'minggu', 'baru', 'sampai', 'barang', 'nya', 'lama', 'banget', 'kalo', 'di', 'toko', 'oren', 'hari', 'juga', 'sudah', 'sampai', 'ke', 'bandung']","['bagus', 'packing', 'aman', 'pengiriman', 'banget', 'toko', 'oren', 'bandung']","['bagus', 'packing', 'aman', 'kirim', 'banget', 'toko', 'oren', 'bandung']",bagus packing aman kirim banget toko oren bandung
mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
