case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
"beli satu dapet banyak dong. dikasih bonus hair spa mask sama voucher 25k buat beli baju.
packagingnya bagus dan minimalis. texturenya gel, dicoba oles ditangan butuh kira” satu menit baru meresap dan ga lengket. sensasi waktu nyentuh kulit itu seger. kalo kebanyakan dan belum menyerap sempurna, jelas akan sedikit lengket” gitu kalo disentuh. wanginya bukan kayak yg enak banget gitu tapi aman” aja. 
cocok banget buat kulit oily dan kombinasi. untuk kulit kering juga bisa tapi penggunaannya akan lebih banyak atau mungkin bisa ditambah dengan penggunaan face oil.",beli satu dapet banyak dong dikasih bonus hair spa mask sama voucher buat beli baju packagingnya bagus dan minimalis texturenya gel dicoba oles ditangan butuh kira satu menit baru meresap dan ga lengket sensasi waktu nyentuh kulit itu seger kalo kebanyakan dan belum menyerap sempurna jelas akan sedikit lengket gitu kalo disentuh wanginya bukan kayak yg enak banget gitu tapi aman aja cocok banget buat kulit oily dan kombinasi untuk kulit kering juga bisa tapi penggunaannya akan lebih banyak atau mungkin bisa ditambah dengan penggunaan face oil,beli satu dapat banyak dong dikasih bonus hair spa mask sama voucher buat beli baju packagingnya bagus dan minimalis texturenya gel dicoba oles ditangan butuh kira satu menit baru meresap dan enggak lengket sensasi waktu nyentuh kulit itu segar kalo kebanyakan dan belum menyerap sempurna jelas akan sedikit lengket begitu kalo disentuh wanginya bukan kayak yang enak banget begitu tapi aman saja cocok banget buat kulit oily dan kombinasi untuk kulit kering juga bisa tapi penggunaannya akan lebih banyak atau mungkin bisa ditambah dengan penggunaan face oil,"['beli', 'satu', 'dapat', 'banyak', 'dong', 'dikasih', 'bonus', 'hair', 'spa', 'mask', 'sama', 'voucher', 'buat', 'beli', 'baju', 'packagingnya', 'bagus', 'dan', 'minimalis', 'texturenya', 'gel', 'dicoba', 'oles', 'ditangan', 'butuh', 'kira', 'satu', 'menit', 'baru', 'meresap', 'dan', 'enggak', 'lengket', 'sensasi', 'waktu', 'nyentuh', 'kulit', 'itu', 'segar', 'kalo', 'kebanyakan', 'dan', 'belum', 'menyerap', 'sempurna', 'jelas', 'akan', 'sedikit', 'lengket', 'begitu', 'kalo', 'disentuh', 'wanginya', 'bukan', 'kayak', 'yang', 'enak', 'banget', 'begitu', 'tapi', 'aman', 'saja', 'cocok', 'banget', 'buat', 'kulit', 'oily', 'dan', 'kombinasi', 'untuk', 'kulit', 'kering', 'juga', 'bisa', 'tapi', 'penggunaannya', 'akan', 'lebih', 'banyak', 'atau', 'mungkin', 'bisa', 'ditambah', 'dengan', 'penggunaan', 'face', 'oil']","['beli', 'dikasih', 'bonus', 'hair', 'spa', 'mask', 'voucher', 'beli', 'baju', 'packagingnya', 'bagus', 'minimalis', 'texturenya', 'gel', 'dicoba', 'oles', 'ditangan', 'butuh', 'menit', 'meresap', 'lengket', 'sensasi', 'nyentuh', 'kulit', 'segar', 'kebanyakan', 'menyerap', 'sempurna', 'lengket', 'disentuh', 'wanginya', 'banget', 'aman', 'cocok', 'banget', 'kulit', 'oily', 'kombinasi', 'kulit', 'kering', 'penggunaannya', 'ditambah', 'face', 'oil']","['beli', 'kasih', 'bonus', 'hair', 'spa', 'mask', 'voucher', 'beli', 'baju', 'packagingnya', 'bagus', 'minimal', 'texturenya', 'gel', 'coba', 'oles', 'tang', 'butuh', 'menit', 'resap', 'lengket', 'sensasi', 'nyentuh', 'kulit', 'segar', 'banyak', 'serap', 'sempurna', 'lengket', 'sentuh', 'wangi', 'banget', 'aman', 'cocok', 'banget', 'kulit', 'oily', 'kombinasi', 'kulit', 'kering', 'guna', 'tambah', 'face', 'oil']",beli kasih bonus hair spa mask voucher beli baju packagingnya bagus minimal texturenya gel coba oles tang butuh menit resap lengket sensasi nyentuh kulit segar banyak serap sempurna lengket sentuh wangi banget aman cocok banget kulit oily kombinasi kulit kering guna tambah face oil
bagus bgt cocok pake ini semoga w ada duit buat beli ini😭,bagus bgt cocok pake ini semoga ada duit buat beli ini,bagus banget cocok pakai ini semoga ada duit buat beli ini,"['bagus', 'banget', 'cocok', 'pakai', 'ini', 'semoga', 'ada', 'duit', 'buat', 'beli', 'ini']","['bagus', 'banget', 'cocok', 'pakai', 'semoga', 'duit', 'beli']","['bagus', 'banget', 'cocok', 'pakai', 'moga', 'duit', 'beli']",bagus banget cocok pakai moga duit beli
"asik banget masih dapet free hair mask, sering2in order ada free ya ka seneng banget jadi pecinta skingame ❤️❤️",asik banget masih dapet free hair mask seringin order ada free ya ka seneng banget jadi pecinta skingame,asik banget masih dapat free hair mask seringin order ada free ya kak senang banget jadi pecinta skingame,"['asik', 'banget', 'masih', 'dapat', 'free', 'hair', 'mask', 'seringin', 'order', 'ada', 'free', 'ya', 'kak', 'senang', 'banget', 'jadi', 'pecinta', 'skingame']","['banget', 'hair', 'mask', 'seringin', 'order', 'senang', 'banget', 'pecinta', 'skingame']","['banget', 'hair', 'mask', 'ringin', 'order', 'senang', 'banget', 'cinta', 'skingame']",banget hair mask ringin order senang banget cinta skingame
"dapat bonus hair mask juga, bagus sekali",dapat bonus hair mask juga bagus sekali,dapat bonus hair mask juga bagus sekali,"['dapat', 'bonus', 'hair', 'mask', 'juga', 'bagus', 'sekali']","['bonus', 'hair', 'mask', 'bagus']","['bonus', 'hair', 'mask', 'bagus']",bonus hair mask bagus
"thank you, barangnya cepat sampai dan dapat bonus hair conditioner dan voucer belanja, makasih sekali lagi skin game semoga produknya cocok dan bermanfaat buat kulit ku",thank you barangnya cepat sampai dan dapat bonus hair conditioner dan voucer belanja makasih sekali lagi skin game semoga produknya cocok dan bermanfaat buat kulit ku,thank you barangnya cepat sampai dan dapat bonus hair conditioner dan voucer belanja terima kasih sekali lagi skin game semoga produknya cocok dan bermanfaat buat kulit ku,"['thank', 'you', 'barangnya', 'cepat', 'sampai', 'dan', 'dapat', 'bonus', 'hair', 'conditioner', 'dan', 'voucer', 'belanja', 'terima', 'kasih', 'sekali', 'lagi', 'skin', 'game', 'semoga', 'produknya', 'cocok', 'dan', 'bermanfaat', 'buat', 'kulit', 'ku']","['thank', 'barangnya', 'cepat', 'bonus', 'hair', 'conditioner', 'voucer', 'belanja', 'terima', 'kasih', 'skin', 'game', 'semoga', 'produknya', 'cocok', 'bermanfaat', 'kulit', 'ku']","['thank', 'barang', 'cepat', 'bonus', 'hair', 'conditioner', 'voucer', 'belanja', 'terima', 'kasih', 'skin', 'game', 'moga', 'produk', 'cocok', 'manfaat', 'kulit', 'ku']",thank barang cepat bonus hair conditioner voucer belanja terima kasih skin game moga produk cocok manfaat kulit ku
"pemesanan pertama, smg cocok dgn kulit sy.",pemesanan pertama smg cocok dgn kulit sy,pemesanan pertama semoga cocok dengan kulit saya,"['pemesanan', 'pertama', 'semoga', 'cocok', 'dengan', 'kulit', 'saya']","['pemesanan', 'semoga', 'cocok', 'kulit']","['mesan', 'moga', 'cocok', 'kulit']",mesan moga cocok kulit
"sampai dengan aman, semoga cocok 🤍
makasih gift nyaa 🫶",sampai dengan aman semoga cocok makasih gift nyaa,sampai dengan aman semoga cocok terima kasih gift nya,"['sampai', 'dengan', 'aman', 'semoga', 'cocok', 'terima', 'kasih', 'gift', 'nya']","['aman', 'semoga', 'cocok', 'terima', 'kasih', 'gift']","['aman', 'moga', 'cocok', 'terima', 'kasih', 'gift']",aman moga cocok terima kasih gift
"sukaaa bangettt, pake semalam jerawat yg kecil jadi kering, trus jerawat batu juga mulai ngeluarin matanya dalam semalam. sekarang jerawat batunya udah mengering sedikit demi sedikitt",sukaaa bangettt pake semalam jerawat yg kecil jadi kering trus jerawat batu juga mulai ngeluarin matanya dalam semalam sekarang jerawat batunya udah mengering sedikit demi sedikitt,suka banget pakai semalam jerawat yang kecil jadi kering terus jerawat batu juga mulai mengeluarkan matanya dalam semalam sekarang jerawat batunya sudah mengering sedikit demi sedikitt,"['suka', 'banget', 'pakai', 'semalam', 'jerawat', 'yang', 'kecil', 'jadi', 'kering', 'terus', 'jerawat', 'batu', 'juga', 'mulai', 'mengeluarkan', 'matanya', 'dalam', 'semalam', 'sekarang', 'jerawat', 'batunya', 'sudah', 'mengering', 'sedikit', 'demi', 'sedikitt']","['suka', 'banget', 'pakai', 'semalam', 'jerawat', 'kering', 'jerawat', 'batu', 'mengeluarkan', 'matanya', 'semalam', 'jerawat', 'batunya', 'mengering', 'sedikitt']","['suka', 'banget', 'pakai', 'malam', 'jerawat', 'kering', 'jerawat', 'batu', 'keluar', 'mata', 'malam', 'jerawat', 'batu', 'ering', 'sedikitt']",suka banget pakai malam jerawat kering jerawat batu keluar mata malam jerawat batu ering sedikitt
terima kasih free hair masknya 🙏🏻,terima kasih free hair masknya,terima kasih free hair masknya,"['terima', 'kasih', 'free', 'hair', 'masknya']","['terima', 'kasih', 'hair', 'masknya']","['terima', 'kasih', 'hair', 'masknya']",terima kasih hair masknya
"produk nya sampai dengan cepat, dan dikasih bonus hair spa mask 👍🏻👍🏻",produk nya sampai dengan cepat dan dikasih bonus hair spa mask,produk nya sampai dengan cepat dan dikasih bonus hair spa mask,"['produk', 'nya', 'sampai', 'dengan', 'cepat', 'dan', 'dikasih', 'bonus', 'hair', 'spa', 'mask']","['produk', 'cepat', 'dikasih', 'bonus', 'hair', 'spa', 'mask']","['produk', 'cepat', 'kasih', 'bonus', 'hair', 'spa', 'mask']",produk cepat kasih bonus hair spa mask
