case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma
akhirnya nyampe juga barangnya lumayan lama pengirimannya tpi gpp makasih loh hadiahnya ada lip mate.. mudah mudahan cocok ya soalnya baru mau coba,akhirnya nyampe juga barangnya lumayan lama pengirimannya tpi gpp makasih loh hadiahnya ada lip mate mudah mudahan cocok ya soalnya baru mau coba,akhirnya sampai juga barangnya lumayan lama pengirimannya tapi enggak apa-apa terima kasih loh hadiahnya ada lip mate mudah mudahan cocok ya soalnya baru mau coba,"['akhirnya', 'sampai', 'juga', 'barangnya', 'lumayan', 'lama', 'pengirimannya', 'tapi', 'enggak', 'apa-apa', 'terima', 'kasih', 'loh', 'hadiahnya', 'ada', 'lip', 'mate', 'mudah', 'mudahan', 'cocok', 'ya', 'soalnya', 'baru', 'mau', 'coba']","['akhirnya', 'barangnya', 'lumayan', 'lama', 'pengirimannya', 'enggak', 'apa-apa', 'terima', 'kasih', 'loh', 'hadiahnya', 'lip', 'mate', 'mudah', 'mudahan', 'cocok', 'soalnya', 'baru', 'mau', 'coba']",akhirnya barangnya lumayan lama pengirimannya enggak apa-apa terima kasih loh hadiahnya lip mate mudah mudahan cocok soalnya baru mau coba
"sudah lama pakai produk ini
dan cocok
terasa ringan, tdk lengkerlt, tdk berminyak, tdk dempul
mantull tipe kulitku berminyak",sudah lama pakai produk ini dan cocok terasa ringan tdk lengkerlt tdk berminyak tdk dempul mantull tipe kulitku berminyak,sudah lama pakai produk ini dan cocok terasa ringan tidak lengkerlt tidak berminyak tidak dempul mantap tipe kulitku berminyak,"['sudah', 'lama', 'pakai', 'produk', 'ini', 'dan', 'cocok', 'terasa', 'ringan', 'tidak', 'lengkerlt', 'tidak', 'berminyak', 'tidak', 'dempul', 'mantap', 'tipe', 'kulitku', 'berminyak']","['lama', 'pakai', 'produk', 'cocok', 'terasa', 'ringan', 'lengkerlt', 'berminyak', 'dempul', 'mantap', 'tipe', 'kulitku', 'berminyak']",lama pakai produk cocok terasa ringan lengkerlt berminyak dempul mantap tipe kulitku berminyak
warnanya cakep bgt cocok di kulit ku 😍 gx salah pilih pokoknya luv ❤,warnanya cakep bgt cocok di kulit ku gx salah pilih pokoknya luv,warnanya cakep banget cocok di kulit ku enggak salah pilih pokoknya love,"['warnanya', 'cakep', 'banget', 'cocok', 'di', 'kulit', 'ku', 'enggak', 'salah', 'pilih', 'pokoknya', 'love']","['warnanya', 'cakep', 'banget', 'cocok', 'kulit', 'ku', 'enggak', 'salah', 'pilih', 'pokoknya', 'love']",warnanya cakep banget cocok kulit ku enggak salah pilih pokoknya love
"cocok dg produknya,awet & cakep dikulit muka jd glowing",cocok dg produknya awet cakep dikulit muka jd glowing,cocok dengan produknya awet cakep dikulit muka jadi glowing,"['cocok', 'dengan', 'produknya', 'awet', 'cakep', 'dikulit', 'muka', 'jadi', 'glowing']","['cocok', 'produknya', 'awet', 'cakep', 'dikulit', 'muka', 'jadi', 'glowing']",cocok produknya awet cakep dikulit muka jadi glowing
"bagus, pengemasan baik, pengiriman cepat...dapat diskon di tokopedia. terbaik pokoknya",bagus pengemasan baik pengiriman cepat dapat diskon di tokopedia terbaik pokoknya,bagus pengemasan baik pengiriman cepat dapat diskon di tokopedia terbaik pokoknya,"['bagus', 'pengemasan', 'baik', 'pengiriman', 'cepat', 'dapat', 'diskon', 'di', 'tokopedia', 'terbaik', 'pokoknya']","['bagus', 'pengemasan', 'baik', 'pengiriman', 'cepat', 'diskon', 'tokopedia', 'terbaik', 'pokoknya']",bagus pengemasan baik pengiriman cepat diskon tokopedia terbaik pokoknya
mantul👍👍,mantul,mantul,['mantul'],['mantul'],mantul
"bahannya ringan, gampang menyerap& cocok sama kulit",bahannya ringan gampang menyerap cocok sama kulit,bahannya ringan gampang menyerap cocok sama kulit,"['bahannya', 'ringan', 'gampang', 'menyerap', 'cocok', 'sama', 'kulit']","['bahannya', 'ringan', 'gampang', 'menyerap', 'cocok', 'sama', 'kulit']",bahannya ringan gampang menyerap cocok sama kulit
"oke banget, ringannnnnnnn bangetttttttttt. sukaaaaaaaaaaaaaaa",oke banget ringannnnnnnn bangetttttttttt sukaaaaaaaaaaaaaaa,oke banget ringannnnnnnn bangetttttttttt sukaaaaaaaaaaaaaaa,"['oke', 'banget', 'ringannnnnnnn', 'bangetttttttttt', 'sukaaaaaaaaaaaaaaa']","['oke', 'banget', 'ringannnnnnnn', 'bangetttttttttt', 'sukaaaaaaaaaaaaaaa']",oke banget ringannnnnnnn bangetttttttttt sukaaaaaaaaaaaaaaa
tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif under tone kulitku netral under tone kulitku warm under tone kulitku cool,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif under tone kulitku netral under tone kulitku warm under tone kulitku cool,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif under tone kulitku netral under tone kulitku warm under tone kulitku cool,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'under', 'tone', 'kulitku', 'netral', 'under', 'tone', 'kulitku', 'warm', 'under', 'tone', 'kulitku', 'cool']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'under', 'tone', 'kulitku', 'netral', 'under', 'tone', 'kulitku', 'warm', 'under', 'tone', 'kulitku', 'cool']",tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif under tone kulitku netral under tone kulitku warm under tone kulitku cool
produknya gampang di serap,produknya gampang di serap,produknya gampang di serap,"['produknya', 'gampang', 'di', 'serap']","['produknya', 'gampang', 'serap']",produknya gampang serap
cepet bgt dikirimnya dn sesuaii pesanan semog berkh ya,cepet bgt dikirimnya dn sesuaii pesanan semog berkh ya,cepat banget dikirimnya dan sesuaii pesanan semog berkh ya,"['cepat', 'banget', 'dikirimnya', 'dan', 'sesuaii', 'pesanan', 'semog', 'berkh', 'ya']","['cepat', 'banget', 'dikirimnya', 'sesuaii', 'pesanan', 'semog', 'berkh']",cepat banget dikirimnya sesuaii pesanan semog berkh
baguss sekaliiii,baguss sekaliiii,bagus sekali,"['bagus', 'sekali']","['bagus', 'sekali']",bagus sekali
"baru beberapa kali pemakaian, so far oke sih, tapi ternyata ga yang glow glow banget sih 😁",baru beberapa kali pemakaian so far oke sih tapi ternyata ga yang glow glow banget sih,baru beberapa kali pemakaian so far oke sih tapi ternyata enggak yang glow glow banget sih,"['baru', 'beberapa', 'kali', 'pemakaian', 'so', 'far', 'oke', 'sih', 'tapi', 'ternyata', 'enggak', 'yang', 'glow', 'glow', 'banget', 'sih']","['baru', 'beberapa', 'kali', 'pemakaian', 'so', 'far', 'oke', 'sih', 'ternyata', 'enggak', 'glow', 'glow', 'banget', 'sih']",baru beberapa kali pemakaian so far oke sih ternyata enggak glow glow banget sih
"sabunnya bagus, muka kerasa bersih, cuman ga suka baunya, kayak aroma ruangan dokter gigi 😭😂",sabunnya bagus muka kerasa bersih cuman ga suka baunya kayak aroma ruangan dokter gigi,sabunnya bagus muka kerasa bersih cuman enggak suka baunya kayak aroma ruangan dokter gigi,"['sabunnya', 'bagus', 'muka', 'kerasa', 'bersih', 'cuman', 'enggak', 'suka', 'baunya', 'kayak', 'aroma', 'ruangan', 'dokter', 'gigi']","['sabunnya', 'bagus', 'muka', 'kerasa', 'bersih', 'cuman', 'enggak', 'suka', 'baunya', 'kayak', 'aroma', 'ruangan', 'dokter', 'gigi']",sabunnya bagus muka kerasa bersih cuman enggak suka baunya kayak aroma ruangan dokter gigi
exfoliating product yg cocok utk kulit sensitif ku,exfoliating product yg cocok utk kulit sensitif ku,exfoliating product yang cocok untuk kulit sensitif ku,"['exfoliating', 'product', 'yang', 'cocok', 'untuk', 'kulit', 'sensitif', 'ku']","['exfoliating', 'product', 'cocok', 'kulit', 'sensitif', 'ku']",exfoliating product cocok kulit sensitif ku
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']",tipe kulitku berminyak
mari kita cobaa,mari kita cobaa,mari kita coba,"['mari', 'kita', 'coba']",['coba'],coba
ini sih udah udah oke banget buat eke yak,ini sih udah udah oke banget buat eke yak,ini sih sudah sudah oke banget buat eke ya,"['ini', 'sih', 'sudah', 'sudah', 'oke', 'banget', 'buat', 'eke', 'ya']","['sih', 'oke', 'banget', 'buat', 'eke']",sih oke banget buat eke
dipakai ringan rasanya,dipakai ringan rasanya,dipakai ringan rasanya,"['dipakai', 'ringan', 'rasanya']","['dipakai', 'ringan', 'rasanya']",dipakai ringan rasanya
masalah kulitku pori besar,masalah kulitku pori besar,masalah kulitku pori besar,"['masalah', 'kulitku', 'pori', 'besar']","['masalah', 'kulitku', 'pori', 'besar']",masalah kulitku pori besar
"ringan dan cukup ampuh, ini sudah pembelian yang kesekian kalinya ntah keberapa",ringan dan cukup ampuh ini sudah pembelian yang kesekian kalinya ntah keberapa,ringan dan cukup ampuh ini sudah pembelian yang kesekian kalinya entah keberapa,"['ringan', 'dan', 'cukup', 'ampuh', 'ini', 'sudah', 'pembelian', 'yang', 'kesekian', 'kalinya', 'entah', 'keberapa']","['ringan', 'cukup', 'ampuh', 'pembelian', 'kesekian', 'kalinya', 'entah', 'keberapa']",ringan cukup ampuh pembelian kesekian kalinya entah keberapa
"baru mau coba, mudah2an beneran ampuh buat bersihin pori2, dan ga bikin jerawatan",baru mau coba mudahan beneran ampuh buat bersihin pori dan ga bikin jerawatan,baru mau coba mudahan benaran ampuh buat bersihin pori dan enggak bikin jerawatan,"['baru', 'mau', 'coba', 'mudahan', 'benaran', 'ampuh', 'buat', 'bersihin', 'pori', 'dan', 'enggak', 'bikin', 'jerawatan']","['baru', 'mau', 'coba', 'mudahan', 'benaran', 'ampuh', 'buat', 'bersihin', 'pori', 'enggak', 'bikin', 'jerawatan']",baru mau coba mudahan benaran ampuh buat bersihin pori enggak bikin jerawatan
"sudah pembelian yang kesekian kalinya, suka dengan tekstur yg terasa ringan, dan warna gel yg transparan jadi ga keliatan banget kalo lg make obat jerawat",sudah pembelian yang kesekian kalinya suka dengan tekstur yg terasa ringan dan warna gel yg transparan jadi ga keliatan banget kalo lg make obat jerawat,sudah pembelian yang kesekian kalinya suka dengan tekstur yang terasa ringan dan warna gel yang transparan jadi enggak kelihatan banget kalo lagi memakai obat jerawat,"['sudah', 'pembelian', 'yang', 'kesekian', 'kalinya', 'suka', 'dengan', 'tekstur', 'yang', 'terasa', 'ringan', 'dan', 'warna', 'gel', 'yang', 'transparan', 'jadi', 'enggak', 'kelihatan', 'banget', 'kalo', 'lagi', 'memakai', 'obat', 'jerawat']","['pembelian', 'kesekian', 'kalinya', 'suka', 'tekstur', 'terasa', 'ringan', 'warna', 'gel', 'transparan', 'jadi', 'enggak', 'kelihatan', 'banget', 'kalo', 'memakai', 'obat', 'jerawat']",pembelian kesekian kalinya suka tekstur terasa ringan warna gel transparan jadi enggak kelihatan banget kalo memakai obat jerawat
"baru mau coba, semoga beneran bisa ngurangin bekas stretchmark",baru mau coba semoga beneran bisa ngurangin bekas stretchmark,baru mau coba semoga benaran bisa ngurangin bekas stretchmark,"['baru', 'mau', 'coba', 'semoga', 'benaran', 'bisa', 'ngurangin', 'bekas', 'stretchmark']","['baru', 'mau', 'coba', 'semoga', 'benaran', 'ngurangin', 'bekas', 'stretchmark']",baru mau coba semoga benaran ngurangin bekas stretchmark
terasa ringan dan cocok untuk digunakan sehari-hari.,terasa ringan dan cocok untuk digunakan sehari hari,terasa ringan dan cocok untuk digunakan sehari hari,"['terasa', 'ringan', 'dan', 'cocok', 'untuk', 'digunakan', 'sehari', 'hari']","['terasa', 'ringan', 'cocok', 'digunakan', 'sehari', 'hari']",terasa ringan cocok digunakan sehari hari
andalan gue buat cerahin muka dan ngilangin darkspot yang bandel banget.,andalan gue buat cerahin muka dan ngilangin darkspot yang bandel banget,andalan gue buat cerahin muka dan menghilangkan darkspot yang bandel banget,"['andalan', 'gue', 'buat', 'cerahin', 'muka', 'dan', 'menghilangkan', 'darkspot', 'yang', 'bandel', 'banget']","['andalan', 'gue', 'buat', 'cerahin', 'muka', 'menghilangkan', 'darkspot', 'bandel', 'banget']",andalan gue buat cerahin muka menghilangkan darkspot bandel banget
"first time coba yang ini, biasa yang pure 1% retinol (hijau tua) dan itu nampol banget buat ngilangin muka kusam. yang ini semoga cocok juga yaa..",first time coba yang ini biasa yang pure retinol hijau tua dan itu nampol banget buat ngilangin muka kusam yang ini semoga cocok juga yaa,first time coba yang ini biasa yang pure retinol hijau tua dan itu nampol banget buat menghilangkan muka kusam yang ini semoga cocok juga ya,"['first', 'time', 'coba', 'yang', 'ini', 'biasa', 'yang', 'pure', 'retinol', 'hijau', 'tua', 'dan', 'itu', 'nampol', 'banget', 'buat', 'menghilangkan', 'muka', 'kusam', 'yang', 'ini', 'semoga', 'cocok', 'juga', 'ya']","['first', 'time', 'coba', 'biasa', 'pure', 'retinol', 'hijau', 'tua', 'nampol', 'banget', 'buat', 'menghilangkan', 'muka', 'kusam', 'semoga', 'cocok']",first time coba biasa pure retinol hijau tua nampol banget buat menghilangkan muka kusam semoga cocok
"ini serum andalan gue buat ngatasin jerawat! combo maut kalo dipake barengan niacinamidenya. bestt!!

pengiriman kali ini agak lama, tapi dikasih free 3 item kecil hehe. thanks seller.  masalah kulitku jerawat tipe kulitku berminyak",ini serum andalan gue buat ngatasin jerawat combo maut kalo dipake barengan niacinamidenya bestt pengiriman kali ini agak lama tapi dikasih free item kecil thanks seller masalah kulitku jerawat tipe kulitku berminyak,ini serum andalan gue buat ngatasin jerawat combo maut kalo dipakai barengan niacinamidenya terbaik pengiriman kali ini agak lama tapi dikasih free item kecil thanks seller masalah kulitku jerawat tipe kulitku berminyak,"['ini', 'serum', 'andalan', 'gue', 'buat', 'ngatasin', 'jerawat', 'combo', 'maut', 'kalo', 'dipakai', 'barengan', 'niacinamidenya', 'terbaik', 'pengiriman', 'kali', 'ini', 'agak', 'lama', 'tapi', 'dikasih', 'free', 'item', 'kecil', 'thanks', 'seller', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'berminyak']","['serum', 'andalan', 'gue', 'buat', 'ngatasin', 'jerawat', 'combo', 'maut', 'kalo', 'dipakai', 'barengan', 'niacinamidenya', 'terbaik', 'pengiriman', 'kali', 'lama', 'dikasih', 'free', 'item', 'kecil', 'thanks', 'seller', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'berminyak']",serum andalan gue buat ngatasin jerawat combo maut kalo dipakai barengan niacinamidenya terbaik pengiriman kali lama dikasih free item kecil thanks seller masalah kulitku jerawat tipe kulitku berminyak
cocok untuk acne prone oily skin!! efek calmingnya cepet bgt,cocok untuk acne prone oily skin efek calmingnya cepet bgt,cocok untuk acne prone oily skin efek calmingnya cepat banget,"['cocok', 'untuk', 'acne', 'prone', 'oily', 'skin', 'efek', 'calmingnya', 'cepat', 'banget']","['cocok', 'acne', 'prone', 'oily', 'skin', 'efek', 'calmingnya', 'cepat', 'banget']",cocok acne prone oily skin efek calmingnya cepat banget
tipe kulitku kombinasi,tipe kulitku kombinasi,tipe kulitku kombinasi,"['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'kombinasi']",tipe kulitku kombinasi
"pengiriman cepat, seller responsif, serum",pengiriman cepat seller responsif serum,pengiriman cepat seller responsif serum,"['pengiriman', 'cepat', 'seller', 'responsif', 'serum']","['pengiriman', 'cepat', 'seller', 'responsif', 'serum']",pengiriman cepat seller responsif serum
"kualitas bagus, brg asli, harga oke bgt.. packing aman pake bubble wrap. best dah bakal jd langganan",kualitas bagus brg asli harga oke bgt packing aman pake bubble wrap best dah bakal jd langganan,kualitas bagus barang asli harga oke banget packing aman pakai bubble wrap best deh bakal jadi langganan,"['kualitas', 'bagus', 'barang', 'asli', 'harga', 'oke', 'banget', 'packing', 'aman', 'pakai', 'bubble', 'wrap', 'best', 'deh', 'bakal', 'jadi', 'langganan']","['kualitas', 'bagus', 'barang', 'asli', 'harga', 'oke', 'banget', 'packing', 'aman', 'pakai', 'bubble', 'wrap', 'best', 'deh', 'bakal', 'jadi', 'langganan']",kualitas bagus barang asli harga oke banget packing aman pakai bubble wrap best deh bakal jadi langganan
mantaaappp,mantaaappp,mantaaappp,['mantaaappp'],['mantaaappp'],mantaaappp
"barang sesuai pesanan, packing rapi disertai bubblewarp sehingga barang aman dan terlindungi. terima kasih min.",barang sesuai pesanan packing rapi disertai bubblewarp sehingga barang aman dan terlindungi terima kasih min,barang sesuai pesanan packing rapi disertai bubblewarp sehingga barang aman dan terlindungi terima kasih min,"['barang', 'sesuai', 'pesanan', 'packing', 'rapi', 'disertai', 'bubblewarp', 'sehingga', 'barang', 'aman', 'dan', 'terlindungi', 'terima', 'kasih', 'min']","['barang', 'sesuai', 'pesanan', 'packing', 'rapi', 'disertai', 'bubblewarp', 'barang', 'aman', 'terlindungi', 'terima', 'kasih', 'min']",barang sesuai pesanan packing rapi disertai bubblewarp barang aman terlindungi terima kasih min
sesuai dengan deskripsi. produk bagus. cepat meresap dan nggak lengket 👍🏻,sesuai dengan deskripsi produk bagus cepat meresap dan nggak lengket,sesuai dengan deskripsi produk bagus cepat meresap dan enggak lengket,"['sesuai', 'dengan', 'deskripsi', 'produk', 'bagus', 'cepat', 'meresap', 'dan', 'enggak', 'lengket']","['sesuai', 'deskripsi', 'produk', 'bagus', 'cepat', 'meresap', 'enggak', 'lengket']",sesuai deskripsi produk bagus cepat meresap enggak lengket
"masih berproses baru pertama kali pakai somethinc, semoga cocok sampai ilang jerawat nya",masih berproses baru pertama kali pakai somethinc semoga cocok sampai ilang jerawat nya,masih berproses baru pertama kali pakai somethinc semoga cocok sampai hilang jerawat nya,"['masih', 'berproses', 'baru', 'pertama', 'kali', 'pakai', 'somethinc', 'semoga', 'cocok', 'sampai', 'hilang', 'jerawat', 'nya']","['berproses', 'baru', 'pertama', 'kali', 'pakai', 'somethinc', 'semoga', 'cocok', 'hilang', 'jerawat', 'nya']",berproses baru pertama kali pakai somethinc semoga cocok hilang jerawat nya
tipe kulitku berminyak tipe kulitku normal masalah kulitku kerutan tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku normal masalah kulitku kerutan tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku normal masalah kulitku kerutan tipe kulitku kombinasi masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']",tipe kulitku berminyak tipe kulitku normal masalah kulitku kerutan tipe kulitku kombinasi masalah kulitku jerawat
"baru mau coba pakai,semoga cocok dikulit semoga bisa melembabkan,hilangkan flek2 juga",baru mau coba pakai semoga cocok dikulit semoga bisa melembabkan hilangkan flek juga,baru mau coba pakai semoga cocok dikulit semoga bisa melembabkan hilangkan flek juga,"['baru', 'mau', 'coba', 'pakai', 'semoga', 'cocok', 'dikulit', 'semoga', 'bisa', 'melembabkan', 'hilangkan', 'flek', 'juga']","['baru', 'mau', 'coba', 'pakai', 'semoga', 'cocok', 'dikulit', 'semoga', 'melembabkan', 'hilangkan', 'flek']",baru mau coba pakai semoga cocok dikulit semoga melembabkan hilangkan flek
"bahannya ringan
cocok untuk semua jenis kulit",bahannya ringan cocok untuk semua jenis kulit,bahannya ringan cocok untuk semua jenis kulit,"['bahannya', 'ringan', 'cocok', 'untuk', 'semua', 'jenis', 'kulit']","['bahannya', 'ringan', 'cocok', 'semua', 'jenis', 'kulit']",bahannya ringan cocok semua jenis kulit
teksturnya matte dan cepat kering d bibir. semoga awet buat makan dan minum seharian hehehe,teksturnya matte dan cepat kering bibir semoga awet buat makan dan minum seharian,teksturnya matte dan cepat kering bibir semoga awet buat makan dan minum seharian,"['teksturnya', 'matte', 'dan', 'cepat', 'kering', 'bibir', 'semoga', 'awet', 'buat', 'makan', 'dan', 'minum', 'seharian']","['teksturnya', 'matte', 'cepat', 'kering', 'bibir', 'semoga', 'awet', 'buat', 'makan', 'minum', 'seharian']",teksturnya matte cepat kering bibir semoga awet buat makan minum seharian
"baru pertama ini beli karena lagi diskon 50% alhamdulilah, kirain kecil ternyata lumayan gede, semoga cocok",baru pertama ini beli karena lagi diskon alhamdulilah kirain kecil ternyata lumayan gede semoga cocok,baru pertama ini beli karena lagi diskon alhamdulilah mengira kecil ternyata lumayan gede semoga cocok,"['baru', 'pertama', 'ini', 'beli', 'karena', 'lagi', 'diskon', 'alhamdulilah', 'mengira', 'kecil', 'ternyata', 'lumayan', 'gede', 'semoga', 'cocok']","['baru', 'pertama', 'beli', 'diskon', 'alhamdulilah', 'mengira', 'kecil', 'ternyata', 'lumayan', 'gede', 'semoga', 'cocok']",baru pertama beli diskon alhamdulilah mengira kecil ternyata lumayan gede semoga cocok
tipe kulitku kering tipe kulitku sensitif masalah kulitku jerawat. alhamdulillah dapet promo hehe,tipe kulitku kering tipe kulitku sensitif masalah kulitku jerawat alhamdulillah dapet promo,tipe kulitku kering tipe kulitku sensitif masalah kulitku jerawat alhamdulillah dapat promo,"['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'alhamdulillah', 'dapat', 'promo']","['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'alhamdulillah', 'promo']",tipe kulitku kering tipe kulitku sensitif masalah kulitku jerawat alhamdulillah promo
"pake ini udah cocok, udah beli yg kesekian kalinya,  tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat",pake ini udah cocok udah beli yg kesekian kalinya tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,pakai ini sudah cocok sudah beli yang kesekian kalinya tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,"['pakai', 'ini', 'sudah', 'cocok', 'sudah', 'beli', 'yang', 'kesekian', 'kalinya', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']","['pakai', 'cocok', 'beli', 'kesekian', 'kalinya', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']",pakai cocok beli kesekian kalinya tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat
"udah cocok banget pake moisturizer ini, lagi pengen coba pake cleanser nya semoga cocok",udah cocok banget pake moisturizer ini lagi pengen coba pake cleanser nya semoga cocok,sudah cocok banget pakai moisturizer ini lagi pengin coba pakai cleanser nya semoga cocok,"['sudah', 'cocok', 'banget', 'pakai', 'moisturizer', 'ini', 'lagi', 'pengin', 'coba', 'pakai', 'cleanser', 'nya', 'semoga', 'cocok']","['cocok', 'banget', 'pakai', 'moisturizer', 'pengin', 'coba', 'pakai', 'cleanser', 'nya', 'semoga', 'cocok']",cocok banget pakai moisturizer pengin coba pakai cleanser nya semoga cocok
tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']",tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat
packing aman exp aman barang aman,packing aman exp aman barang aman,packing aman exp aman barang aman,"['packing', 'aman', 'exp', 'aman', 'barang', 'aman']","['packing', 'aman', 'exp', 'aman', 'barang', 'aman']",packing aman exp aman barang aman
"packing sangat sangat sangat amaaaan. yang ditunggu banget ini barangnya, karena rekomendasi temen bagus banget",packing sangat sangat sangat amaaaan yang ditunggu banget ini barangnya karena rekomendasi temen bagus banget,packing sangat sangat sangat amaaaan yang ditunggu banget ini barangnya karena rekomendasi teman bagus banget,"['packing', 'sangat', 'sangat', 'sangat', 'amaaaan', 'yang', 'ditunggu', 'banget', 'ini', 'barangnya', 'karena', 'rekomendasi', 'teman', 'bagus', 'banget']","['packing', 'sangat', 'sangat', 'sangat', 'amaaaan', 'ditunggu', 'banget', 'barangnya', 'rekomendasi', 'teman', 'bagus', 'banget']",packing sangat sangat sangat amaaaan ditunggu banget barangnya rekomendasi teman bagus banget
please jangan discontinued yaa,please jangan discontinued yaa,please jangan discontinued ya,"['please', 'jangan', 'discontinued', 'ya']","['please', 'jangan', 'discontinued']",please jangan discontinued
"terimakasih bonusnya…
produk sesuai pesanan..
recommended seller….",terimakasih bonusnya produk sesuai pesanan recommended seller,terima kasih bonusnya produk sesuai pesanan recommended seller,"['terima', 'kasih', 'bonusnya', 'produk', 'sesuai', 'pesanan', 'recommended', 'seller']","['terima', 'kasih', 'bonusnya', 'produk', 'sesuai', 'pesanan', 'recommended', 'seller']",terima kasih bonusnya produk sesuai pesanan recommended seller
masalah kulitku jerawat,masalah kulitku jerawat,masalah kulitku jerawat,"['masalah', 'kulitku', 'jerawat']","['masalah', 'kulitku', 'jerawat']",masalah kulitku jerawat
"tipe kulitku kering, setelah 1 bulan pemakaian bekas jerawatnya memudar",tipe kulitku kering setelah bulan pemakaian bekas jerawatnya memudar,tipe kulitku kering setelah bulan pemakaian bekas jerawatnya memudar,"['tipe', 'kulitku', 'kering', 'setelah', 'bulan', 'pemakaian', 'bekas', 'jerawatnya', 'memudar']","['tipe', 'kulitku', 'kering', 'bulan', 'pemakaian', 'bekas', 'jerawatnya', 'memudar']",tipe kulitku kering bulan pemakaian bekas jerawatnya memudar
sesuai pesanan. packing bubble wrap dan kardus. kadaluarsa masih panjang. terima kasih,sesuai pesanan packing bubble wrap dan kardus kadaluarsa masih panjang terima kasih,sesuai pesanan packing bubble wrap dan kardus kadaluarsa masih panjang terima kasih,"['sesuai', 'pesanan', 'packing', 'bubble', 'wrap', 'dan', 'kardus', 'kadaluarsa', 'masih', 'panjang', 'terima', 'kasih']","['sesuai', 'pesanan', 'packing', 'bubble', 'wrap', 'kardus', 'kadaluarsa', 'panjang', 'terima', 'kasih']",sesuai pesanan packing bubble wrap kardus kadaluarsa panjang terima kasih
baguss,baguss,bagus,['bagus'],['bagus'],bagus
masalah kulitku jerawat masalah kulitku pori besar,masalah kulitku jerawat masalah kulitku pori besar,masalah kulitku jerawat masalah kulitku pori besar,"['masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']",masalah kulitku jerawat masalah kulitku pori besar
