case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
penipu,penipu,penipu,['penipu'],['penipu'],['tipu'],tipu
"saya belum coba lama produk nya, baru sekitar 2 hari tapi rasanya nyaman nyaman saja, admin fast respon, dan packaging ok, dibuatkan seolah barang premium",saya belum coba lama produk nya baru sekitar hari tapi rasanya nyaman nyaman saja admin fast respon dan packaging ok dibuatkan seolah barang premium,saya belum coba lama produk nya baru sekitar hari tapi rasanya nyaman nyaman saja admin fast respon dan packaging ok dibuatkan seolah barang premium,"['saya', 'belum', 'coba', 'lama', 'produk', 'nya', 'baru', 'sekitar', 'hari', 'tapi', 'rasanya', 'nyaman', 'nyaman', 'saja', 'admin', 'fast', 'respon', 'dan', 'packaging', 'ok', 'dibuatkan', 'seolah', 'barang', 'premium']","['coba', 'produk', 'nyaman', 'nyaman', 'admin', 'fast', 'respon', 'packaging', 'dibuatkan']","['coba', 'produk', 'nyaman', 'nyaman', 'admin', 'fast', 'respon', 'packaging', 'buat']",coba produk nyaman nyaman admin fast respon packaging buat
"mantapp barangnya sdh diterima yoooo, smoga berguna",mantapp barangnya sdh diterima yoooo smoga berguna,mantap barangnya sudah diterima ya semoga berguna,"['mantap', 'barangnya', 'sudah', 'diterima', 'ya', 'semoga', 'berguna']","['mantap', 'barangnya', 'diterima', 'semoga', 'berguna']","['mantap', 'barang', 'terima', 'moga', 'guna']",mantap barang terima moga guna
"produk sesuai deskripsi, pack aman dan cepaat. mantap",produk sesuai deskripsi pack aman dan cepaat mantap,produk sesuai deskripsi pack aman dan cepaat mantap,"['produk', 'sesuai', 'deskripsi', 'pack', 'aman', 'dan', 'cepaat', 'mantap']","['produk', 'deskripsi', 'pack', 'aman', 'cepaat', 'mantap']","['produk', 'deskripsi', 'pack', 'aman', 'cepaat', 'mantap']",produk deskripsi pack aman cepaat mantap
proses cepat. pengiriman cepat. produk sesuai. terima kasih…,proses cepat pengiriman cepat produk sesuai terima kasih,proses cepat pengiriman cepat produk sesuai terima kasih,"['proses', 'cepat', 'pengiriman', 'cepat', 'produk', 'sesuai', 'terima', 'kasih']","['cepat', 'pengiriman', 'cepat', 'produk', 'terima', 'kasih']","['cepat', 'kirim', 'cepat', 'produk', 'terima', 'kasih']",cepat kirim cepat produk terima kasih
dapet harga 15rb yeaaaay!,dapet harga rb yeaaaay,dapat harga ribu yeaaaay,"['dapat', 'harga', 'ribu', 'yeaaaay']","['harga', 'yeaaaay']","['harga', 'yeaaaay']",harga yeaaaay
packaging rapi dan niat padahal cm beli 1 eyeliner👍,packaging rapi dan niat padahal cm beli eyeliner,packaging rapi dan niat padahal cuma beli eyeliner,"['packaging', 'rapi', 'dan', 'niat', 'padahal', 'cuma', 'beli', 'eyeliner']","['packaging', 'rapi', 'niat', 'beli', 'eyeliner']","['packaging', 'rapi', 'niat', 'beli', 'eyeliner']",packaging rapi niat beli eyeliner
"baru coba semoga cocok shade nina ini,kalau moisturizer nya sudah andalan banget tipe kulitku berminyak tipe kulitku kombinasi under tone kulitku netral",baru coba semoga cocok shade nina ini kalau moisturizer nya sudah andalan banget tipe kulitku berminyak tipe kulitku kombinasi under tone kulitku netral,baru coba semoga cocok shade nina ini kalau moisturizer nya sudah andalan banget tipe kulitku berminyak tipe kulitku kombinasi under tone kulitku netral,"['baru', 'coba', 'semoga', 'cocok', 'shade', 'nina', 'ini', 'kalau', 'moisturizer', 'nya', 'sudah', 'andalan', 'banget', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'under', 'tone', 'kulitku', 'netral']","['coba', 'semoga', 'cocok', 'shade', 'nina', 'moisturizer', 'andalan', 'banget', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'under', 'tone', 'kulitku', 'netral']","['coba', 'moga', 'cocok', 'shade', 'nina', 'moisturizer', 'andal', 'banget', 'tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kombinasi', 'under', 'tone', 'kulit', 'netral']",coba moga cocok shade nina moisturizer andal banget tipe kulit minyak tipe kulit kombinasi under tone kulit netral
"pas untuk tipe kulitku kombinasi, under tone kulitku warm",pas untuk tipe kulitku kombinasi under tone kulitku warm,pas untuk tipe kulitku kombinasi under tone kulitku warm,"['pas', 'untuk', 'tipe', 'kulitku', 'kombinasi', 'under', 'tone', 'kulitku', 'warm']","['tipe', 'kulitku', 'kombinasi', 'under', 'tone', 'kulitku', 'warm']","['tipe', 'kulit', 'kombinasi', 'under', 'tone', 'kulit', 'warm']",tipe kulit kombinasi under tone kulit warm
barangnya sudah datang dengan selamat.. semoga cocok di kulit aku😊,barangnya sudah datang dengan selamat semoga cocok di kulit aku,barangnya sudah datang dengan selamat semoga cocok di kulit aku,"['barangnya', 'sudah', 'datang', 'dengan', 'selamat', 'semoga', 'cocok', 'di', 'kulit', 'aku']","['barangnya', 'selamat', 'semoga', 'cocok', 'kulit']","['barang', 'selamat', 'moga', 'cocok', 'kulit']",barang selamat moga cocok kulit
